t,residual_masked,residual_unmasked
1,0.002655965582939457,0.002655965582939457
2,0.003073012694076449,0.003073012694076449
3,0.0032769498382010376,0.0032769498382010376
4,0.0027797334988990396,0.0027797334988990396
5,0.0025489102038008804,0.0025489102038008804
6,0.0030585606718895875,0.0030585606718895875
7,0.004022436733883028,0.004022436733883028
8,0.004540156048601807,0.004540156048601807
9,0.004167183807659347,0.004167183807659347
10,0.0039060777591182205,0.0039060777591182205
11,0.004274770576535247,0.004274770576535247
12,0.004355532840671694,0.004355532840671694
13,0.004387537700206501,0.004387537700206501
14,0.004258803072562989,0.004258803072562989
15,0.0041595784287642434,0.0041595784287642434
16,0.003973797398559409,0.003973797398559409
17,0.0038779587380405323,0.0038779587380405323
18,0.0044152262548313725,0.0044152262548313725
19,0.004645417052450362,0.004645417052450362
20,0.004795928065701283,0.004795928065701283
21,0.005425151929170813,0.005425151929170813
22,0.005623679479685784,0.005623679479685784
23,0.0009200076393388601,0.00497913131932104
24,0.0006155340006460674,0.00417198951241593
25,0.0004491621991234984,0.00393814882415644
26,0.0,0.004335987662177132
27,0.0,0.005074261788847068
28,4.440892098500626e-16,0.005972182366253298
29,7.771561172376096e-16,0.00693656478326421
30,2.220446049250313e-16,0.00793456206325649
31,2.220446049250313e-16,0.008947010289749757
32,2.220446049250313e-16,0.009962823618083538
33,4.440892098500626e-16,0.010975681062488807
34,2.220446049250313e-16,0.011982068182664563
35,4.440892098500626e-16,0.012980119779582688
36,2.220446049250313e-16,0.013968936135499987
37,2.220446049250313e-16,0.014948179198212896
38,2.220446049250313e-16,0.015917834252042073
39,6.661338147750939e-16,0.01687806940787895
40,6.661338147750939e-16,0.017829152907255397
41,2.220446049250313e-16,0.018771404589819518
42,4.440892098500626e-16,0.01970516754246554
43,6.661338147750939e-16,0.020630791664685066
44,2.220446049250313e-16,0.021548624264210448
45,4.440892098500626e-16,0.022459004795004844
46,5.187423823826975e-10,0.023362262030840908
47,5.133116154354411e-10,0.04524314176598865
48,5.361906474377065e-10,0.09224209590283294
49,5.51593659636751e-10,0.14437073502121378
50,5.72912828289418e-10,0.1917388456034803
51,5.953653126056224e-10,0.23639081489557112
52,6.205453928487259e-10,0.28236601439125697
53,6.448954703586196e-10,0.32799308212752165
54,6.67780497565218e-10,0.369277115260773
55,6.883362768661527e-10,0.4042553183188844
56,7.071612184716969e-10,0.4331803633438178
57,7.232232590581589e-10,0.45626857681780475
58,7.359517439908814e-10,0.4728273995503922
59,7.451768091470967e-10,0.48200816609580577
60,7.473930363488535e-10,0.4835206765110873
61,7.424258985366805e-10,0.4775113993499931
62,7.308043059595093e-10,0.46416282211474624
63,7.116465194911825e-10,0.443599736324918
64,6.867588719927653e-10,0.4160476738145482
65,6.559950360696121e-10,0.3819302216807625
66,6.199953883623266e-10,0.3418182102641594
67,5.801799041194045e-10,0.2963530849526499
68,5.372209344045586e-10,0.24623277714129155
69,4.919800122848983e-10,0.19223195794590642
70,4.4612868954629903e-10,0.1352028020928382
